Auth. Code,Tax Type,Start Date,End Date,Coterm. Valid,Reg. Valid,Supp. Valid,Vac. Valid,Cum. Valid,Daily Factor,Additional Tax,Tax Disposition,Mandatory,PSR Proc. Flag,EIC Cert
120000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
120000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
120000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
120000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
120000,519,20060101,0,0,1,2,2,2,0,1,0,1,0,0
120000,521,20030101,0,0,1,2,2,2,0,1,0,1,1,0
120000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
120000,600,20060102,0,0,1,2,2,2,0,1,0,1,0,0
130000,1,20190101,0,0,1,1,1,1,0,0,0,1,1,0
130000,10,20170101,0,0,1,2,2,2,0,1,1,1,1,0
130000,15,20170101,0,0,1,2,2,2,0,1,1,1,1,0
130000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
130000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
130000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
130000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
130000,70,20190101,0,0,1,1,0,0,0,0,0,0,1,0
130000,71,20190101,0,0,1,1,0,0,0,0,0,0,1,0
130000,72,20130101,0,0,1,1,1,0,0,0,0,0,0,0
130000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
130000,504,20090724,0,0,1,2,2,2,0,1,0,1,0,0
130000,507,20090724,0,0,1,2,2,2,0,1,0,1,0,0
130000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
130000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
130000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
130000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
130000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
130000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
130000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
130000,519,20060101,0,0,1,2,2,2,0,1,0,1,0,0
130000,520,20030101,0,0,1,2,2,2,0,1,0,1,1,0
130000,521,20140101,0,0,1,2,2,2,0,1,0,1,1,0
130000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
130000,600,20060102,0,0,1,2,2,2,0,1,0,1,0,0
140000,1,20200101,0,0,1,1,1,1,0,4,0,1,1,0
140000,502,20030101,0,0,1,2,2,2,0,1,0,1,1,0
140000,507,20090724,0,0,1,2,2,2,0,1,0,1,0,0
140000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
140000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
140000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
140000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
140000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
140000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
140000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
140000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
140000,600,20060101,0,0,1,2,2,2,0,1,0,1,1,0
150000,1,20130101,0,0,1,1,1,0,0,0,0,1,0,0
150000,10,20200101,0,0,1,2,2,2,0,1,1,1,0,0
150000,16,20200101,0,0,1,2,2,2,0,1,1,1,0,0
150000,31,20200101,0,9,1,2,2,2,0,1,1,1,0,0
150000,41,20200101,0,9,1,2,2,2,0,1,1,1,0,0
150000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
150000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
150000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
150000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
150000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,504,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,507,20090724,0,0,1,2,2,2,0,1,0,1,0,0
150000,508,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,510,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,511,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,512,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,513,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,514,20030101,0,0,1,2,2,2,0,1,0,1,0,0
150000,516,20030101,0,0,1,2,2,2,0,1,0,1,1,0
150000,517,20100101,0,0,1,2,2,2,0,1,0,1,0,0
150000,519,20060101,0,0,1,2,2,2,0,1,0,1,0,0
150000,528,20130101,0,0,1,2,2,2,0,1,0,1,1,0
150000,600,20060102,0,0,1,2,2,2,0,1,0,1,0,0
160000,1,20190627,0,0,1,1,1,1,0,0,0,1,0,0
160000,10,20200101,0,0,1,2,2,2,0,1,1,1,0,0
160000,18,20200101,0,0,1,2,2,2,0,1,1,1,0,0
160000,29,20200101,0,0,1,2,2,2,0,1,1,1,0,0
160000,61,20130101,0,9,1,2,2,2,0,0,1,1,2,0
160000,62,20130101,0,9,1,2,2,2,0,0,1,1,2,0
160000,63,20130101,0,9,1,2,2,2,0,0,1,1,2,0
160000,64,20130101,0,9,1,2,2,2,0,0,1,1,2,0
160000,70,20190627,0,0,1,1,1,0,0,0,0,0,0,0
160000,71,20190627,0,0,1,1,1,0,0,0,0,0,0,0
160000,72,20190101,0,0,1,1,1,0,0,0,0,0,0,0
160000,502,20030101,0,0,1,2,2,2,0,1,0,1,0,0
160000,504,20130702,0,0,1,2,2,2,0,1,0,1,0,0
160000,507,20090724,0,0,1,2,2,2,0,1,0,1,0,0
